epoch,train_loss,val_loss,val_iou,val_dice
1,0.5775163706637283,0.4255820985525179,0.699089652621856,0.8207709751581486
2,0.4039327750845991,0.3620241098253152,0.7175367787107334,0.8326874706742007
3,0.34858034322028325,0.3287405593907252,0.7279177806751216,0.8403147802993715
4,0.3114118546725817,0.350231964126406,0.7135335996216936,0.8297973009751562
5,0.28949141208447254,0.33007662200487964,0.7230978079621185,0.835972507951759
6,0.27439456066161316,0.275383755545057,0.7686533435531284,0.8679010584577427
7,0.25556895381546374,0.27442020645097626,0.7718689787215081,0.8698926849170479
8,0.24948293877413286,0.26932383840106067,0.7764167993750339,0.8725421226071746
9,0.2434780542643632,0.23673008910437976,0.7968545528582748,0.8859342998666726
10,0.22841395816572269,0.25225756243754754,0.7847085432572798,0.8777454273188695
11,0.22614084829921416,0.2374493155005107,0.7975041498779779,0.8856386430806951
12,0.22201964396062243,0.2523875673140776,0.782211254315257,0.8763395998631855
13,0.21128433034652386,0.23701367728480865,0.7965301051441389,0.8855581939298959
14,0.20660769284312241,0.2267634910242988,0.8045027380875448,0.89068985849187
15,0.20224772916751896,0.22476384982132944,0.807631191371772,0.8925765539189415
16,0.19589396093190617,0.21716052199540872,0.813382663588593,0.8958458101796538
